MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,avg_D,ValidStart,ValidEnd,StatisticFormatID
20241029,CA,25.37,62.37,7.96,4.3,0,0,14.926,10/29/2024,11/4/2024,2
20241022,CA,24.68,61.28,9.74,4.3,0,0,15.064,10/22/2024,10/28/2024,2
20241015,CA,24.68,61.28,9.74,4.3,0,0,15.064,10/15/2024,10/21/2024,2
20241008,CA,24.68,61.55,12.06,1.72,0,0,15.066,10/8/2024,10/14/2024,2
20241001,CA,28.4,60.94,10.59,0.08,0,0,14.322,10/1/2024,10/7/2024,2
20240924,CA,28.59,60.75,10.59,0.08,0,0,14.284,9/24/2024,9/30/2024,2
20240917,CA,28.59,60.75,10.59,0.08,0,0,14.284,9/17/2024,9/23/2024,2
20240910,CA,28.59,60.73,10.61,0.08,0,0,14.284,9/10/2024,9/16/2024,2
20240903,CA,45.59,46.05,8.36,0,0,0,10.882,9/3/2024,9/9/2024,2
20240827,CA,58.11,34.98,6.81,0.1,0,0,8.378,8/27/2024,9/2/2024,2
20240820,CA,66.59,26.5,6.81,0.1,0,0,6.682,8/20/2024,8/26/2024,2
20240813,CA,77.29,17.4,5.32,0,0,0,4.544,8/13/2024,8/19/2024,2
20240806,CA,77.26,17.43,5.32,0,0,0,4.55,8/6/2024,8/12/2024,2
20240730,CA,78.78,16.77,4.44,0,0,0,4.242,7/30/2024,8/5/2024,2
20240723,CA,78.8,16.76,4.44,0,0,0,4.24,7/23/2024,7/29/2024,2
20240716,CA,78.8,19.59,1.62,0,0,0,4.242,7/16/2024,7/22/2024,2
20240709,CA,80.72,18.5,0.77,0,0,0,3.854,7/9/2024,7/15/2024,2
20240702,CA,94.25,5.75,0,0,0,0,1.15,7/2/2024,7/8/2024,2
20240625,CA,97.18,2.82,0,0,0,0,0.564,6/25/2024,7/1/2024,2
20240618,CA,98.79,1.21,0,0,0,0,0.242,6/18/2024,6/24/2024,2
20240611,CA,98.79,1.21,0,0,0,0,0.242,6/11/2024,6/17/2024,2
20240604,CA,98.78,1.22,0,0,0,0,0.244,6/4/2024,6/10/2024,2
20240528,CA,98.77,1.23,0,0,0,0,0.246,5/28/2024,6/3/2024,2
20240521,CA,98.77,1.23,0,0,0,0,0.246,5/21/2024,5/27/2024,2
20240514,CA,98.77,1.23,0,0,0,0,0.246,5/14/2024,5/20/2024,2
20240507,CA,97.32,2.68,0,0,0,0,0.536,5/7/2024,5/13/2024,2
20240430,CA,97.32,2.68,0,0,0,0,0.536,4/30/2024,5/6/2024,2
20240423,CA,97.32,2.68,0,0,0,0,0.536,4/23/2024,4/29/2024,2
20240416,CA,97.32,2.68,0,0,0,0,0.536,4/16/2024,4/22/2024,2
20240409,CA,97.32,2.68,0,0,0,0,0.536,4/9/2024,4/15/2024,2
20240402,CA,95.46,4.54,0,0,0,0,0.908,4/2/2024,4/8/2024,2
20240326,CA,95.46,4.54,0,0,0,0,0.908,3/26/2024,4/1/2024,2
20240319,CA,95.46,4.54,0,0,0,0,0.908,3/19/2024,3/25/2024,2
20240312,CA,95.46,4.54,0,0,0,0,0.908,3/12/2024,3/18/2024,2
20240305,CA,95.46,4.54,0,0,0,0,0.908,3/5/2024,3/11/2024,2
20240227,CA,92.97,7.03,0,0,0,0,1.406,2/27/2024,3/4/2024,2
20240220,CA,92.97,7.03,0,0,0,0,1.406,2/20/2024,2/26/2024,2
20240213,CA,92.81,7.19,0,0,0,0,1.438,2/13/2024,2/19/2024,2
20240206,CA,92.84,7.16,0,0,0,0,1.432,2/6/2024,2/12/2024,2
20240130,CA,90.53,9.47,0,0,0,0,1.894,1/30/2024,2/5/2024,2
20240123,CA,96.55,3.45,0,0,0,0,0.69,1/23/2024,1/29/2024,2
20240116,CA,96.65,3.35,0,0,0,0,0.67,1/16/2024,1/22/2024,2
20240109,CA,96.65,3.35,0,0,0,0,0.67,1/9/2024,1/15/2024,2
20240102,CA,96.65,3.35,0,0,0,0,0.67,1/2/2024,1/8/2024,2
20231226,CA,96.65,3.35,0,0,0,0,0.67,12/26/2023,1/1/2024,2
20231219,CA,96.33,3.67,0,0,0,0,0.734,12/19/2023,12/25/2023,2
20231212,CA,96.33,3.67,0,0,0,0,0.734,12/12/2023,12/18/2023,2
20231205,CA,96.33,3.67,0,0,0,0,0.734,12/5/2023,12/11/2023,2
