STATION_ID,DATE TIME,VALUE
LAN,20101201 0000,8.83
LAN,20110101 0000,0.81
LAN,20110201 0000,1.47
LAN,20110301 0000,4.04
LAN,20110401 0000,0.00
LAN,20110501 0000,0.53
LAN,20110601 0000,0.02
LAN,20110701 0000,0.00
LAN,20110801 0000,0.00
LAN,20110901 0000,0.01
LAN,20111001 0000,0.63
LAN,20111101 0000,1.69
LAN,20111201 0000,0.67
LAN,20120101 0000,1.19
LAN,20120201 0000,0.12
LAN,20120301 0000,1.78
LAN,20120401 0000,1.51
LAN,20120501 0000,0.01
LAN,20120601 0000,0.00
LAN,20120701 0000,0.00
LAN,20120801 0000,0.00
LAN,20120901 0000,0.00
LAN,20121001 0000,0.15
LAN,20121101 0000,1.31
LAN,20121201 0000,2.82
LAN,20130101 0000,1.30
LAN,20130201 0000,0.20
LAN,20130301 0000,0.66
LAN,20130401 0000,0.06
LAN,20130501 0000,0.39
LAN,20130601 0000,0.00
LAN,20130701 0000,0.03
LAN,20130801 0000,0.00
LAN,20130901 0000,0.00
LAN,20131001 0000,0.02
LAN,20131101 0000,0.69
LAN,20131201 0000,0.30
LAN,20140101 0000,0.00
LAN,20140201 0000,2.79
LAN,20140301 0000,0.36
LAN,20140401 0000,0.26
LAN,20140501 0000,0.00
LAN,20140601 0000,0.00
LAN,20140701 0000,0.14
LAN,20140801 0000,0.03
LAN,20140901 0000,0.02
LAN,20141001 0000,0.24
LAN,20141101 0000,0.42
LAN,20141201 0000,4.04
LAN,20150101 0000,1.25
LAN,20150201 0000,0.27
LAN,20150301 0000,0.49
LAN,20150401 0000,0.11
LAN,20150501 0000,0.43
LAN,20150601 0000,0.01
LAN,20150701 0000,0.35
LAN,20150801 0000,0.00
LAN,20150901 0000,1.81
LAN,20151001 0000,0.10
LAN,20151101 0000,0.06
LAN,20151201 0000,1.08
LAN,20160101 0000,2.94
LAN,20160201 0000,0.73
LAN,20160301 0000,1.46
LAN,20160401 0000,0.29
LAN,20160501 0000,0.59
LAN,20160601 0000,0.00
LAN,20160701 0000,0.00
LAN,20160801 0000,0.00
LAN,20160901 0000,0.01
LAN,20161001 0000,0.36
LAN,20161101 0000,1.11
LAN,20161201 0000,2.78
LAN,20170101 0000,7.44
LAN,20170201 0000,4.04
LAN,20170301 0000,0.08
LAN,20170401 0000,0.38
LAN,20170501 0000,0.13
LAN,20170601 0000,0.00
LAN,20170701 0000,0.00
LAN,20170801 0000,0.00
LAN,20170901 0000,0.08
LAN,20171001 0000,0.00
LAN,20171101 0000,0.10
LAN,20171201 0000,0.01
LAN,20180101 0000,1.40
LAN,20180201 0000,0.10
LAN,20180301 0000,2.07
LAN,20180401 0000,0.05
LAN,20180501 0000,0.06
LAN,20180601 0000,0.00
LAN,20180701 0000,0.00
LAN,20180801 0000,0.00
LAN,20180901 0000,0.00
LAN,20181001 0000,0.58
LAN,20181101 0000,2.09
LAN,20181201 0000,1.45
LAN,20190101 0000,5.52
LAN,20190201 0000,4.42
LAN,20190301 0000,2.10
LAN,20190401 0000,0.05
LAN,20190501 0000,0.73
LAN,20190601 0000,0.00
LAN,20190701 0000,0.05
LAN,20190801 0000,0.00
LAN,20190901 0000,0.00
LAN,20191001 0000,0.00
LAN,20191101 0000,1.43
LAN,20191201 0000,4.42
